,device_model_name,selenium_download
727,Z25,
728,ELUGA A4,
729,Micromax Q402Plus,
730,BBF100-6,
731,MRD-LX1F,
732,TECNO BB4k,
733,H60-L04,
734,Micromax Q4204,
735,HTC Desire 526GPLUS dual sim,
736,LLD-L21,
737,GT-I9060I,
738,A97 2GB PLUS,
739,CLT-AL00,
740,BND-L21,
741,LG-H860,
742,S6 Pro,
743,LM-Q610.FGN,
744,SM-J110H,
745,MAR-LX1A,
746,ELUGA Note,
747,Micromax Q402+,
748,Micromax Q4101,
749,Micromax Q416,
750,GM1900,
751,SM-G973U1,
752,P5 mini,
753,HM 1S,
754,TECNO i7,
755,ONEPLUS A3000,
756,Pixel 4 XL,
757,SM-J530F,
758,Lenovo TB-7504X,
759,LG-K220,
760,N8301,
761,HRY-LX1MEB,
762,ELUGA Ray 500,
763,Karbonn Aura Power 4G,
764,LS-5013,
765,ELUGA_A3,
766,Micromax Q409,
767,Micromax Q4001,
768,Micromax A107,
769,TECNO KB2,
770,F8332,
771,Iris X8 L,
772,SM-A600F,
773,SM-A530F,
774,SM-G975U1,
775,GIONEE F205,
776,TECNO LB8a,
777,TECNO ID6,
778,vivo V1Max,
779,LM-G810,
780,HTC U11,
781,Lenovo K10a40,
782,CUN-L22,
783,Micromax Q385,
784,LM-G850,
785,LS-5009,
786,LS-4508,
787,Micromax C1A,
788,Redmi Note 4X,
789,itel A42 Plus,
790,coolpad E2,
791,Ufeel 4G,
792,HTC Desire 620G dual sim,
793,Mi A2 Lite,
794,meizu C9 pro,
795,DUA-L22,
796,Micromax E455,
797,itel A45,
798,SM-G900F,
799,SM-J260F,
800,vivo Y51,
801,Z81,
802,itel A44 Power,
803,SKW-H0,
804,MI 3W,
805,SM-J810F,
806,LS-5201,
807,HUAWEI VNS-L21,
808,Micromax Q413,
809,LG-H818,
810,IF9029,
811,C6902,
812,XT1079,
813,X81,
814,G8342,
815,K9 Smart Yuva,
816,GM1910,
817,Aura Power 4G Plus,
818,Eluga Ray 810,
819,SM-G928C,
820,E5363,
821,Micromax Q338,
822,SM-G960U,
823,lephone_W7,
824,HUAWEI TIT-AL00,
825,HTC One X9 dual sim,
826,E1 Selfie,
827,PLK-UL00,
828,X1 Dual,
829,SM-J100H,
830,Panasonic P85,
831,G8232,
832,XT1052,
833,ONEPLUS A3010,
834,HTC Desire 816 dual sim,
835,HTC One_M8 Eye,
836,YU5011,
837,SM-N950U1,
838,INTEX ELYT DUAL,
839,Aqua Craze,
840,HTC Desire 820 dual sim,
841,D6502,
842,ELUGA Ray,
843,INTEX AQUA LIONS 2,
844,Lenovo YT3-850M,
845,S6,
846,GIONEE F205 Pro,
847,Micromax Q437,
848,HTC U Ultra,
849,Micromax Q381,
850,Elite Sense,
851,ASUS_Z00ED,
852,TECNO KC1j,
853,era1X,
854,Redmi Note 5A Prime,
855,SM-G965U,
856,1825-I01,
857,AO5510,
858,SM-F900F,
859,HTC One_M8,
860,GT-I9300I,
861,Micromax Q391,
862,ELUGA Ray 530,
863,"iPhone4,1",
864,CHM-U01,
865,LS-6001,
866,Micromax E4816,
867,Capture+,
868,era3x,
869,Micromax Q4260,
870,itel A40,
871,ZTE BLADE V0730,
872,Eluga_Ray_800,
873,SAMSUNG-SM-G935A,
874,VCR-I0,
875,"iPhone5,3",
876,Lenovo Z90a40,
877,NX549J,
878,E6683,
879,MHA-L29,
880,Z2 Plus,
881,NX629J,
882,HTC Desire 630 dual sim,
883,era 2,
884,itel S42,
885,itel L5502,
886,GIONEE S11 lite,
887,SM-G935T,
888,Micromax Q386,
889,Lenovo PB1-750M,
890,mPhone 7s,
891,Micromax Q409A,
892,Era 2X 3GB,
893,SM-J700H,
894,XT1580,
895,ELUGA_A3_Pro,
896,ELUGA_I2,
897,CPH1871,
898,A51w,
899,LS-5507,
900,Micromax Q350,
901,ELUGA Ray 550,
902,GT-N7100,
903,EVA-L19,
904,SM-N915G,
905,X41 Plus,
906,Titanium Jumbo,
907,CPH1831,
908,SM-J500H,
909,HTC Desire 830 dual sim,
910,Coolpad A8,
911,AMN-LX9,
912,Micromax C2A,
913,HTC Wildfire X,
914,SM-C9000,
915,SM-G950W,
916,SM-J200H,
917,GIONEE F9,
918,lephone_W2,
919,TECNO i5,
920,Micromax E353,
921,Panasonic P110,
922,E6883,
923,Micromax E484,
924,Lenovo P70-A,
925,SM-T295,
926,LG-D690,
927,X1 Notch,
928,V23GB,
929,Smart 4G,
930,ZenFone Max Pro M1,
931,HTC One M9PLUS,
932,E5663,
933,Micromax HS1,
934,GIONEE S10 lite,
935,STV100-3,
936,TECNO KC2j,
937,1826-I01,
938,Micromax E352,
939,PAR-LX1M,
940,SM-J410F,
